	Gene stable ID	Gene name
555	ENSG00000206631	RNU6-657P
556	ENSG00000278198	AC011043.2
557	ENSG00000275577	VSTM1
562	ENSG00000273657	MIR6792
563	ENSG00000278109	RF00017
564	ENSG00000223156	RNU2-18P
565	ENSG00000263989	RN7SL615P
566	ENSG00000212407	RNU6-663P
567	ENSG00000200774	RNU6-478P
568	ENSG00000265281	MIR3935
569	ENSG00000210049	MT-TF
570	ENSG00000211459	MT-RNR1
571	ENSG00000210077	MT-TV
572	ENSG00000210082	MT-RNR2
573	ENSG00000209082	MT-TL1
574	ENSG00000198888	MT-ND1
575	ENSG00000210100	MT-TI
576	ENSG00000210107	MT-TQ
577	ENSG00000210112	MT-TM
578	ENSG00000198763	MT-ND2
579	ENSG00000210117	MT-TW
580	ENSG00000210127	MT-TA
581	ENSG00000210135	MT-TN
582	ENSG00000210140	MT-TC
583	ENSG00000210144	MT-TY
584	ENSG00000198804	MT-CO1
585	ENSG00000210151	MT-TS1
586	ENSG00000210154	MT-TD
587	ENSG00000198712	MT-CO2
588	ENSG00000210156	MT-TK
589	ENSG00000207405	SNORA64
590	ENSG00000266019	MIR3609
591	ENSG00000199953	RNA5SP443
592	ENSG00000228253	MT-ATP8
593	ENSG00000252517	RF00273
594	ENSG00000207128	RNU6-729P
595	ENSG00000198899	MT-ATP6
596	ENSG00000265462	MIR3680-1
597	ENSG00000239748	RN7SL795P
598	ENSG00000277568	RF02271
599	ENSG00000198938	MT-CO3
600	ENSG00000252358	RN7SKP135
601	ENSG00000210164	MT-TG
602	ENSG00000198840	MT-ND3
603	ENSG00000210174	MT-TR
604	ENSG00000212907	MT-ND4L
605	ENSG00000263572	MIR7853
606	ENSG00000207129	RNA5SP187
607	ENSG00000276365	MIR145
608	ENSG00000198886	MT-ND4
609	ENSG00000284289	MIR6820
610	ENSG00000276496	RF02139
611	ENSG00000210176	MT-TH
612	ENSG00000275474	RDH13
613	ENSG00000222582	RNU2-66P
614	ENSG00000210184	MT-TS2
615	ENSG00000210191	MT-TL2
616	ENSG00000264405	MIR3913-1
617	ENSG00000221498	RF00599
618	ENSG00000198786	MT-ND5
619	ENSG00000278334	RF02138
620	ENSG00000201583	RN7SKP191
621	ENSG00000198695	MT-ND6
622	ENSG00000252070	RNA5SP341
623	ENSG00000274280	MIR6069
624	ENSG00000210194	MT-TE
625	ENSG00000206862	RF00019
626	ENSG00000198727	MT-CYB
627	ENSG00000201910	RNU1-140P
628	ENSG00000252103	RNU6-917P
629	ENSG00000210195	MT-TT
630	ENSG00000251841	RNU6-1334P
631	ENSG00000210196	MT-TP
632	ENSG00000284246	MIR6716
633	ENSG00000202395	RN7SKP1
634	ENSG00000223162	RNA5SP280
635	ENSG00000200998	RF00019
636	ENSG00000223245	RNU4-63P
637	ENSG00000199200	RF00019
638	ENSG00000275174	RF00026
639	ENSG00000238783	RF00019
640	ENSG00000207706	MIR518F
641	ENSG00000263479	RN7SL509P
642	ENSG00000252441	RF00264
643	ENSG00000283438	RF00017
644	ENSG00000200427	RF00019
645	ENSG00000212538	RF00012
646	ENSG00000239640	RN7SL62P
647	ENSG00000206606	RNU6-1296P
648	ENSG00000201179	RNU6-1322P
649	ENSG00000283484	MIR3529
650	ENSG00000212140	RNU6-1320P
651	ENSG00000212422	RF00012
652	ENSG00000252416	RNU6-885P
653	ENSG00000207214	RNU6-102P
654	ENSG00000263615	MIR4306
655	ENSG00000222345	RF00569
656	ENSG00000278633	AC023491.2
657	ENSG00000253602	RN7SL260P
658	ENSG00000274986	MIR6750
659	ENSG00000206692	RF00019
660	ENSG00000277722	AC012314.34
661	ENSG00000223313	RNU6-516P
662	ENSG00000207127	RF00019
663	ENSG00000238468	RNU7-14P
664	ENSG00000252008	RNU6-927P
665	ENSG00000199903	RNU6-1273P
666	ENSG00000284415	MIR1287
667	ENSG00000207221	SNORA70E
668	ENSG00000276729	RF00017
669	ENSG00000265744	MIR4427
670	ENSG00000222213	RNU6-588P
671	ENSG00000238316	RF01210
672	ENSG00000202508	RF00019
673	ENSG00000281541	SNORD36C
674	ENSG00000265392	MIR4252
675	ENSG00000252498	RNU6-1016P
676	ENSG00000222185	RF00181
677	ENSG00000264512	MIR5692A2
678	ENSG00000200636	SNORD114-27
679	ENSG00000264994	SNORD92
680	ENSG00000242158	RN7SL361P
681	ENSG00000278459	RF00017
682	ENSG00000202211	RF00019
683	ENSG00000201945	RF00156
684	ENSG00000266776	MIR4646
685	ENSG00000199933	RNY1P16
686	ENSG00000238374	RNU7-180P
687	ENSG00000212424	RNU1-119P
688	ENSG00000202261	SNORD115-44
689	ENSG00000273845	RF00019
690	ENSG00000199603	RNU6-951P
691	ENSG00000201316	RF00409
692	ENSG00000202263	RNA5SP22
693	ENSG00000280858	RPL7A
702	ENSG00000222524	RN7SKP109
703	ENSG00000207484	RF00019
704	ENSG00000275757	RNA5-8SN2
705	ENSG00000200670	RNU6-912P
706	ENSG00000212036	MIR548BA
707	ENSG00000200600	RF00019
708	ENSG00000206969	RNU6-1316P
709	ENSG00000241745	RN7SL788P
710	ENSG00000252261	RNA5SP262
711	ENSG00000206867	RNU6-356P
712	ENSG00000239224	RN7SL546P
713	ENSG00000200564	SNORD115-39
714	ENSG00000222486	RNU6-77P
715	ENSG00000211580	MIR769
716	ENSG00000252015	RNU6-904P
717	ENSG00000274625	RF00492
718	ENSG00000277401	TJP1
722	ENSG00000212292	RNU6-239P
723	ENSG00000207383	RF00019
724	ENSG00000275652	MIR6796
725	ENSG00000207170	RNU6-1215P
726	ENSG00000206630	SNORD60
727	ENSG00000222658	RF00019
728	ENSG00000207186	RNA5SP122
729	ENSG00000285224	VARS2
731	ENSG00000201047	RF00019
732	ENSG00000251943	RNU6-693P
733	ENSG00000276351	RF01973
734	ENSG00000238517	MIR1270
735	ENSG00000206941	SNORD15A
736	ENSG00000212388	RNU6-796P
737	ENSG00000266038	MIR4659A
738	ENSG00000201274	RNA5SP192
739	ENSG00000200593	SNORD115-33
740	ENSG00000284190	MIR21
741	ENSG00000253028	RF00322
742	ENSG00000242668	RN7SL317P
743	ENSG00000252554	RNU6-861P
744	ENSG00000200008	RF00019
745	ENSG00000264893	RF00003
746	ENSG00000252374	RF00019
747	ENSG00000266619	MIR4642
748	ENSG00000201962	RNA5SP126
749	ENSG00000212460	RNU6-460P
750	ENSG00000271739	RNU1-29P
751	ENSG00000242509	RN7SL156P
752	ENSG00000207458	RNY3P9
753	ENSG00000276153	RF00019
754	ENSG00000202216	RF00560
755	ENSG00000207976	MIR607
756	ENSG00000263697	MIR3621
757	ENSG00000201501	RF00019
758	ENSG00000264073	MIR3199-1
759	ENSG00000274663	RNA5SP526
760	ENSG00000284229	MIR6848
761	ENSG00000201574	RNU1-93P
762	ENSG00000239823	RF00019
763	ENSG00000199273	RF00019
